"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"183","California Freeze (January 2007)","Freeze",20070111,20070117,1778,1,"CA"
"184","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"CA"
"185","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"CA"
"186","Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1198,12,"CA"
"187","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"CA"
"188","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"CA"
"189","Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1234.4,10,"CA"
"190","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"CA"
"191","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"CA"
"192","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"CA"
"193","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"CA"
"194","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"CA"
"195","Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3330.8,12,"CA"
"196","Western Drought (2015)","Drought",20150101,20151231,4912.6,0,"CA"
"197","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"CA"
"198","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"CA"
"199","Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1171.3,24,"CA"
"200","California Flooding (February 2017)","Flooding",20170208,20170222,1590,5,"CA"
"201","Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,18725.2,54,"CA"
"202","Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3049.8,0,"CA"
"203","Western Wildfires, California Firestorm (Summer-Fall 2018)","Wildfire",20180601,20181231,24480,106,"CA"
"204","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"CO"
"205","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"CO"
"206","Severe Storms and Hail (June 1984)","Severe Storm",19840613,19840617,1124.4,1,"CO"
"207","Western Severe Storms and Flooding (February 1986)","Severe Storm",19860214,19860216,1245,13,"CO"
"208","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"CO"
"209","Colorado Hail Storm (July 1990)","Severe Storm",19900711,19900711,1656.5,0,"CO"
"210","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"CO"
"211","Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1276,0,"CO"
"212","Southern Plains Drought (Spring-Summer 1996)","Drought",19960301,19960831,2991.7,0,"CO"
"213","Western Fire Season (Spring-Summer 2000)","Wildfire",20000301,20000831,1634,0,"CO"
"214","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"CO"
"215","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"CO"
"216","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"CO"
"217","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"CO"
"218","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"CO"
"219","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"CO"
"220","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"CO"
"221","Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3695.9,13,"CO"
"222","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"CO"
"223","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"CO"
"224","Colorado Hail Storm (July 2009)","Severe Storm",20090720,20090720,1220,0,"CO"
"225","Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1234.4,10,"CO"
"226","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"CO"
"227","Rockies and Midwest Severe Weather (July 2011)","Severe Storm",20110710,20110714,1433.4,2,"CO"
"228","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"CO"
"229","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"CO"
"230","Rockies/Southwest Severe Weather (June 2012)","Severe Storm",20120606,20120612,2935.5,0,"CO"
"231","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"CO"
"232","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"CO"
"233","Colorado Flooding (September 2013)","Flooding",20130910,20130916,1689.5,9,"CO"
"234","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"CO"
"235","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"CO"
"236","Rockies/Plains Severe Weather (September 2014)","Severe Storm",20140929,20141002,1540.4,0,"CO"
"237","Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1399.3,4,"CO"
"238","Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2750.7,31,"CO"
"239","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"CO"
"240","Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3330.8,12,"CO"
"241","Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1874.5,2,"CO"
"242","Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1249.4,0,"CO"
"243","Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1597.6,0,"CO"
"244","Colorado Hail Storm and Central Severe Weather (May 2017)","Severe Storm",20170508,20170511,3551,0,"CO"
"245","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"CO"
"246","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"CO"
"247","Colorado Hail Storm (June 2018)","Severe Storm",20180618,20180619,2267.5,0,"CO"
"248","Rockies and Plains Hail Storms (August 2018)","Severe Storm",20180806,20180807,1045.5,0,"CO"
"249","Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3049.8,0,"CO"
"250","Western Wildfires, California Firestorm (Summer-Fall 2018)","Wildfire",20180601,20181231,24480,106,"CO"
"251","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"CT"
"252","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"CT"
"253","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"CT"
"254","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"CT"
"255","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"CT"
"256","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"CT"
"257","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"CT"
"258","Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2870.5,18,"CT"
"259","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"CT"
"260","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"CT"
"261","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"CT"
"262","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"CT"
"263","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"CT"
"264","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"CT"
"265","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"CT"
"266","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"CT"
"267","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"CT"
"268","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"CT"
"269","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"CT"
"270","Northeast Flooding (March 2010)","Flooding",20100301,20100331,2194.6,11,"CT"
"271","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"CT"
"272","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"CT"
